"visit_date,""utm_source"",""utm_medium"",""utm_campaign"",""lead_id"",""created_at"",""amount"",""closing_reason"",""status_id"""
"2023-06-01 10:40:28.000,yandex,cpc,prof-frontend,""26066151"",2023-06-15 12:52:40.000,237990,Успешная продажа,142"
"2023-06-01 14:39:00.000,yandex,cpc,base-frontend,""74450379"",2023-06-30 14:36:31.000,201150,Успешная продажа,142"
"2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,""48838540"",2023-06-20 20:49:16.000,189210,Успешная продажа,142"
"2023-06-01 10:44:00.000,yandex,cpc,freemium,""21579820"",2023-06-19 15:28:22.000,188991,Успешная продажа,142"
"2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,""23169912"",2023-06-14 06:13:44.000,180306,Успешная продажа,142"
"2023-06-01 03:41:00.000,vk,cpc,prof-java,""50769366"",2023-06-15 11:43:46.000,178800,Успешная продажа,142"
"2023-06-01 19:39:00.000,yandex,cpc,prof-frontend,""25327894"",2023-06-11 21:57:08.000,167625,Успешная продажа,142"
"2023-06-01 11:34:00.000,yandex,cpc,base-python,""73882489"",2023-06-26 08:36:49.000,160920,Успешная продажа,142"
"2023-06-20 15:15:04.701,telegram,cpp,base-java,""20614407"",2023-06-26 17:47:47.000,151192,Успешная продажа,142"
"2023-06-01 16:43:00.000,yandex,cpc,dod-php,""24703215"",2023-06-03 14:40:56.000,150255,Успешная продажа,142"
